#    	x	    f(x)	         f'(x)	    f'(x) 	   f''(x)	    f''(x)
#    	 	         	       analytical    finite    analytical    finite
    -4.524	   509.354	  -601.561	  -600.824	   693.768	   693.667
    -4.522	   508.152	  -600.175	  -599.440	   692.198	   692.097
    -4.520	   506.953	  -598.792	  -598.059	   690.631	   690.531
    -4.518	   505.757	  -597.413	  -596.681	   689.068	   688.968
    -4.516	   504.564	  -596.036	  -595.306	   687.508	   687.409
    -4.514	   503.373	  -594.663	  -593.934	   685.952	   685.853
    -4.512	   502.185	  -593.292	  -592.566	   684.400	   684.301
    -4.510	   501.000	  -591.925	  -591.200	   682.850	   682.752
    -4.508	   499.818	  -590.561	  -589.838	   681.305	   681.206
    -4.506	   498.638	  -589.200	  -588.478	   679.762	   679.664
    -4.504	   497.461	  -587.842	  -587.122	   678.224	   678.125
    -4.502	   496.287	  -586.488	  -585.769	   676.688	   676.590
    -4.500	   495.115	  -585.136	  -584.419	   675.156	   675.059
    -4.498	   493.947	  -583.787	  -583.072	   673.628	   673.530
    -4.496	   492.780	  -582.442	  -581.728	   672.103	   672.005
    -4.494	   491.617	  -581.099	  -580.387	   670.581	   670.484
    -4.492	   490.456	  -579.759	  -579.049	   669.062	   668.966
    -4.490	   489.298	  -578.423	  -577.714	   667.548	   667.451
    -4.488	   488.143	  -577.089	  -576.382	   666.036	   665.940
    -4.486	   486.990	  -575.759	  -575.053	   664.528	   664.432
    -4.484	   485.840	  -574.431	  -573.727	   663.023	   662.927
    -4.482	   484.692	  -573.107	  -572.405	   661.522	   661.426
    -4.480	   483.548	  -571.786	  -571.085	   660.024	   659.928
    -4.478	   482.405	  -570.467	  -569.768	   658.529	   658.434
    -4.476	   481.266	  -569.152	  -568.454	   657.037	   656.942
    -4.474	   480.129	  -567.839	  -567.143	   655.549	   655.455
    -4.472	   478.995	  -566.530	  -565.835	   654.065	   653.970
    -4.470	   477.863	  -565.223	  -564.530	   652.583	   652.489
    -4.468	   476.734	  -563.919	  -563.228	   651.105	   651.011
    -4.466	   475.607	  -562.619	  -561.929	   649.630	   649.536
    -4.464	   474.484	  -561.321	  -560.633	   648.159	   648.065
    -4.462	   473.362	  -560.026	  -559.340	   646.690	   646.597
    -4.460	   472.244	  -558.735	  -558.049	   645.225	   645.132
    -4.458	   471.128	  -557.446	  -556.762	   643.764	   643.671
    -4.456	   470.014	  -556.160	  -555.478	   642.305	   642.212
    -4.454	   468.903	  -554.877	  -554.196	   640.850	   640.757
    -4.452	   467.795	  -553.596	  -552.917	   639.398	   639.306
    -4.450	   466.689	  -552.319	  -551.642	   637.950	   637.857
    -4.448	   465.586	  -551.045	  -550.369	   636.504	   636.412
    -4.446	   464.485	  -549.773	  -549.099	   635.062	   634.970
    -4.444	   463.387	  -548.505	  -547.832	   633.623	   633.531
